votesA,votesB,area,perimeter,pp_compactness,eg,imp_flag,win_count_a,win_count_b,total_votes,state_votes_a,state_votes_b,P_a,P_b,p_a,p_b,pOverP_a,pOverP_b,n,L,K,proportion_a,left_side,right_side,refined_left_side,refinded_right_side
71,92,40.75,51,0.19315647827758556,0.3919753086419753,1,0,2,324,144,180,0.4444444444444444,0.5555555555555556,0.0,1.0,0,0.5555555555555556,6,9,2,0.555,0.8,-0.9741935670222286,0.8,0.38769143390210886
73,88,40.25,49,0.2092461474385673,0.3919753086419753,1,0,2,324,144,180,0.4444444444444444,0.5555555555555556,0.0,1.0,0,0.5555555555555556,6,9,2,0.555,0.8,-0.9741935670222286,0.8,0.38769143390210886
